study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,raw_se,adult_return,adult_sd,adult_se,pooled,resource_cat,scaled_return,scaled_se
BliegeBird_2002a,BliegeBird_2002a_fig5b,BliegeBird_2002a_fig5b_8,1,18.96882494004797,NA,NA,NA,NA,shellfish,net kcal/hr,589.0909090909099,NA,NA,2113.0069930069935,1572.2177920885176,436.0547588901486,0,fish_shellfish,0.5510204081632657,NA
BlurtonJones_1989,BlurtonJones_1989_table2_tubers,BlurtonJones_1989_table2_1,0.5,1.75,NA,NA,NA,NA,tubers,g/h,23,NA,NA,1400.6666666666667,309.6441890453038,79.9497858281575,0,USOs,0.005864354920958694,NA
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_1,0.5,1.75,NA,NA,NA,NA,fruit,g/h,0,NA,NA,1934,NA,NA,0,fruit,0,NA
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_2,0.5,2.5,NA,NA,NA,NA,fruit,g/h,0,NA,NA,1934,NA,NA,0,fruit,0,NA
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_3,0.5,2.5,NA,NA,NA,NA,fruit,g/h,351,NA,NA,1934,NA,NA,0,fruit,0.23700202565833897,NA
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_4,0.5,3,NA,NA,NA,NA,fruit,g/h,661,NA,NA,1934,NA,NA,0,fruit,0.4463200540175557,NA
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_5,0.5,4.5,NA,NA,NA,NA,fruit,g/h,247,NA,NA,1934,NA,NA,0,fruit,0.16677920324105333,NA
BlurtonJones_1989,BlurtonJones_1989_table2_tubers,BlurtonJones_1989_table2_6,0.5,5.5,NA,NA,NA,NA,tubers,g/h,205,NA,NA,1400.6666666666667,309.6441890453038,79.9497858281575,0,USOs,0.05226925038245793,NA
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_6,0.5,5.5,NA,NA,NA,NA,fruit,g/h,451,NA,NA,1934,NA,NA,0,fruit,0.30452397029034434,NA
BlurtonJones_1989,BlurtonJones_1989_table2_tubers,BlurtonJones_1989_table2_7,0.5,7,NA,NA,NA,NA,tubers,g/h,160,NA,NA,1400.6666666666667,309.6441890453038,79.9497858281575,0,USOs,0.0407955124936257,NA
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_7,0.5,7,NA,NA,NA,NA,fruit,g/h,712,NA,NA,1934,NA,NA,0,fruit,0.48075624577987847,NA
BlurtonJones_1989,BlurtonJones_1989_table2_tubers,BlurtonJones_1989_table2_8,0.5,8,NA,NA,NA,NA,tubers,g/h,221,NA,NA,1400.6666666666667,309.6441890453038,79.9497858281575,0,USOs,0.0563488016318205,NA
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_8,0.5,8,NA,NA,NA,NA,fruit,g/h,741,NA,NA,1934,NA,NA,0,fruit,0.50033760972316,NA
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_9,0.5,8,NA,NA,NA,NA,fruit,g/h,721,NA,NA,1934,NA,NA,0,fruit,0.48683322079675895,NA
BlurtonJones_1989,BlurtonJones_1989_table2_tubers,BlurtonJones_1989_table2_10,0.5,9,NA,NA,NA,NA,tubers,g/h,392,NA,NA,1400.6666666666667,309.6441890453038,79.9497858281575,0,USOs,0.09994900560938297,NA
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_10,0.5,9,NA,NA,NA,NA,fruit,g/h,415,NA,NA,1934,NA,NA,0,fruit,0.2802160702228224,NA
BlurtonJones_1989,BlurtonJones_1989_table2_tubers,BlurtonJones_1989_table2_11,0.5,10,NA,NA,NA,NA,tubers,g/h,414,NA,NA,1400.6666666666667,309.6441890453038,79.9497858281575,0,USOs,0.1055583885772565,NA
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_11,0.5,10,NA,NA,NA,NA,fruit,g/h,465,NA,NA,1934,NA,NA,0,fruit,0.31397704253882514,NA
BlurtonJones_1989,BlurtonJones_1989_table2_tubers,BlurtonJones_1989_table2_12,0.5,10,NA,NA,NA,NA,tubers,g/h,348,NA,NA,1400.6666666666667,309.6441890453038,79.9497858281575,0,USOs,0.0887302396736359,NA
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_12,0.5,10,NA,NA,NA,NA,fruit,g/h,405,NA,NA,1934,NA,NA,0,fruit,0.2734638757596219,NA
