"","study","outcome","id","sex","age","age_error","age_sd","age_lower","age_upper","resource","units","raw_return","raw_sd","adult_return","adult_sd","adult_se"
"75","BliegeBird_2002a","BliegeBird_2002a_fig1a","BliegeBird_2002a_fig1a_5","both",11.4507772020725,NA,NA,NA,NA,"fish","net kcal/hr",-136.134453781513,NA,75.0700280112044,371.713351707532,71.5362678899072
"76","BliegeBird_2002a","BliegeBird_2002a_fig1a","BliegeBird_2002a_fig1a_6","both",12.9101899827288,NA,NA,NA,NA,"fish","net kcal/hr",-166.386554621849,NA,75.0700280112044,371.713351707532,71.5362678899072
"77","BliegeBird_2002a","BliegeBird_2002a_fig1a","BliegeBird_2002a_fig1a_7","both",14.706390328152,NA,NA,NA,NA,"fish","net kcal/hr",-196.638655462185,NA,75.0700280112044,371.713351707532,71.5362678899072
"78","BliegeBird_2002a","BliegeBird_2002a_fig1b","BliegeBird_2002a_fig1b_1","both",4,NA,NA,NA,NA,"fish","net kcal/hr",-511.877394636015,NA,75.0700280112044,371.713351707532,71.5362678899072
"79","BliegeBird_2002a","BliegeBird_2002a_fig1b","BliegeBird_2002a_fig1b_2","both",6,NA,NA,NA,NA,"fish","net kcal/hr",-435.249042145594,NA,75.0700280112044,371.713351707532,71.5362678899072
"80","BliegeBird_2002a","BliegeBird_2002a_fig1b","BliegeBird_2002a_fig1b_3","both",8,NA,NA,NA,NA,"fish","net kcal/hr",-481.226053639847,NA,75.0700280112044,371.713351707532,71.5362678899072
"81","BliegeBird_2002a","BliegeBird_2002a_fig1b","BliegeBird_2002a_fig1b_4","both",11,NA,NA,NA,NA,"fish","net kcal/hr",-477.394636015326,NA,75.0700280112044,371.713351707532,71.5362678899072
"82","BliegeBird_2002a","BliegeBird_2002a_fig1b","BliegeBird_2002a_fig1b_5","both",12,NA,NA,NA,NA,"fish","net kcal/hr",-508.045977011494,NA,75.0700280112044,371.713351707532,71.5362678899072
"83","BliegeBird_2002a","BliegeBird_2002a_fig1b","BliegeBird_2002a_fig1b_6","both",13,NA,NA,NA,NA,"fish","net kcal/hr",-477.394636015326,NA,75.0700280112044,371.713351707532,71.5362678899072
"84","BliegeBird_2002a","BliegeBird_2002a_fig1b","BliegeBird_2002a_fig1b_7","both",14,NA,NA,NA,NA,"fish","net kcal/hr",-504.214559386973,NA,75.0700280112044,371.713351707532,71.5362678899072
"85","BliegeBird_2002a","BliegeBird_2002a_fig1b","BliegeBird_2002a_fig1b_8","both",12,NA,NA,NA,NA,"fish","net kcal/hr",-236.015325670498,NA,75.0700280112044,371.713351707532,71.5362678899072
"86","BliegeBird_2002a","BliegeBird_2002a_fig1b","BliegeBird_2002a_fig1b_9","both",12,NA,NA,NA,NA,"fish","net kcal/hr",-105.747126436782,NA,75.0700280112044,371.713351707532,71.5362678899072
"87","BliegeBird_2002a","BliegeBird_2002a_fig1b","BliegeBird_2002a_fig1b_10","both",15,NA,NA,NA,NA,"fish","net kcal/hr",-52.1072796934865,NA,75.0700280112044,371.713351707532,71.5362678899072
"88","BliegeBird_2002a","BliegeBird_2002a_fig1b","BliegeBird_2002a_fig1b_11","both",18,NA,NA,NA,NA,"fish","net kcal/hr",16.8582375478928,NA,75.0700280112044,371.713351707532,71.5362678899072
